no,title,link
0," [단독] BL 찍더니 '보플2' 출격…'김요한 그룹' 김준서, 7년 차에 세 번째 아이돌 도전 ",http://v.daum.net/v/20250510113503643
1, [i리그] 부산농구의 명문 ‘클린샷’의 미래 김준서 “선배들 닦아놓은 영광 이어가겠다” ,http://v.daum.net/v/20250525150524019
2, '이 장르' 출연했다 하면 스타 등극…남윤수·김준서·박재찬이 증명한 커리어 루트 ,http://v.daum.net/v/20250418100030513
3," 김준서 “‘비밀 사이’, 모든 과정이 배움의 연속…많은 사랑 받아 영광” ",http://v.daum.net/v/20250321174211947
4," 위아이 김준서 ""'비밀 사이'로 배우 데뷔, 값진 경험 선물"" [일문일답] ",http://v.daum.net/v/20250326080204254
5," ‘비밀사이’ 김준서 “BL 호흡, 서로 생각 많이 공유” [일문일답] ",http://v.daum.net/v/20250326082843886
6," 위아이 김준서, 배우 데뷔작 '비밀 사이' 종영 소감…""영광이었다"" ",http://v.daum.net/v/20250321173426713
7, ‘비밀 사이’ 김준서 “다온이가 많은 사랑을 받을 수 있어서 영광” 종영소감 ,http://v.daum.net/v/20250321232344347
8," 위아이 김준서, 드라마 ‘비밀 사이’로 성공적인 배우 데뷔! ",http://v.daum.net/v/20250306042820758
9," '비밀사이' 김준서 ""원작 다온과 비슷해 보이고 싶었다..다이어트도 열심히"" [일문일답] ",http://v.daum.net/v/20250326100501932
10," 위아이 김준서-유용하,'함께 왔어요' [사진] ",http://v.daum.net/v/20250306171320227
11, [포토] 위아이 김준서-유용하 '람보르기니 테메라리오 론칭쇼 왔어요' ,http://v.daum.net/v/20250306153926237
12," 성남고, 55년 만에 황금사자기 왕좌 탈환! '1회 6득점 빅이닝' 조윤호 103구 역투 빛났다 [목동 현장리뷰] ",http://v.daum.net/v/20250519160634974
13, [전국소년체전 4일차]광주·전남 체육 꿈나무 ‘유종의 미’ ,http://v.daum.net/v/20250527175414934
14," 위아이, 자체 콘텐츠 ‘WE:Log’ 새 에피소드 공개! 훈훈 케미 선사···성공적 팬심 낚기! ",http://v.daum.net/v/20250525180555769
15," 최원재 ‘4관왕’, 송채연·문승유·정근민 ‘2관왕’ ",http://v.daum.net/v/20250526200225779
16," 위아이, 매력 만점 자체 콘텐츠 'WE:Log' 팬心 홀릭 ",http://v.daum.net/v/20250507182006771
17, [전국소년체전 3일차]광주·전남선수단 ‘금빛 릴레이’ ,http://v.daum.net/v/20250526175039192
18," 위아이, ‘WE:Log’ 낚시→먹방 일상 공개…팬심 낚기 성공적 ",http://v.daum.net/v/20250525081306552
19," '1회 6득점 폭발+조윤호 역투' 성남고, 유신고 10-4 제압…'55년 만에' 황금사자기 정상 등극 ",http://v.daum.net/v/20250519214417219
